香港 Smart,#genre#
华视,http://IP:Port/Smart.php?id=ctshd_twn
公视,http://IP:Port/Smart.php?id=ctv18_twn
八大第一,http://IP:Port/Smart.php?id=badafirst
八大综合,http://IP:Port/Smart.php?id=badazhonghe
八大戏剧,http://IP:Port/Smart.php?id=badadrama
八大娱乐,http://IP:Port/Smart.php?id=badaentertain
HBO_HD,http://IP:Port/Smart.php?id=hbohd_twn
HBO_HITS,http://IP:Port/Smart.php?id=hbohit_twn
Hollywood Movies,http://IP:Port/Smart.php?id=hollywoodmovies_twn
三立台湾,http://IP:Port/Smart.php?id=sanlitaiwan
三立戏剧台,http://IP:Port/Smart.php?id=sanlixiju_twn
三立综合,http://IP:Port/Smart.php?id=sanlizhonghe
三立都会台,http://IP:Port/Smart.php?id=sanlidouhui
东森新闻,http://IP:Port/Smart.php?id=ettvnews
CINEMAX,http://IP:Port/Smart.php?id=cinemax_twn
东森综合,http://IP:Port/Smart.php?id=ettvzhonghe
东森戏剧,http://IP:Port/Smart.php?id=ettvdrama
东森超视,http://IP:Port/Smart.php?id=ettvsuper
东森财经新闻,http://IP:Port/Smart.php?id=ettvcaijing_twn
寰宇财经,http://IP:Port/Smart.php?id=huanyutaiwan_twn
寰宇新闻台,http://IP:Port/Smart.php?id=huanyuxinwen_twn
公视2,http://IP:Port/Smart.php?id=ctv2_twn
大爱1台,http://IP:Port/Smart.php?id=daai_twn
非凡新闻台,http://IP:Port/Smart.php?id=feifannews_twn
龙华戏剧 Lunghua Drama,http://IP:Port/Smart.php?id=lunghuaxiju_twn
龙华经典台,http://IP:Port/Smart.php?id=lunghuajingdian_twn
龙华偶像,http://IP:Port/Smart.php?id=lunghuaidol_twn
AXN Taiwan,http://IP:Port/Smart.php?id=axn_twn
靖天国际台,http://IP:Port/Smart.php?id=jingtianintl_twn
年代新闻,http://IP:Port/Smart.php?id=niandainews_twn
纬来日本台,http://IP:Port/Smart.php?id=videolandjapan
纬来电影台,http://IP:Port/Smart.php?id=videolandmovie
纬来体育台,http://IP:Port/Smart.php?id=videolandsport
纬来综合台,http://IP:Port/Smart.php?id=videolandzonghe
纬来育乐,http://IP:Port/Smart.php?id=videolandyule
纬来精彩,http://IP:Port/Smart.php?id=videolandspecial_twn
好消息 2,http://IP:Port/Smart.php?id=good2_twn
大爱2台,http://IP:Port/Smart.php?id=daai2_twn
亚洲美食,http://IP:Port/Smart.php?id=afc_twn
美食星球,http://IP:Port/Smart.php?id=foodplanet_twn
亚洲旅游,http://IP:Port/Smart.php?id=tlc_twn
东森电影,http://IP:Port/Smart.php?id=ettvmovie
阿里郎,http://IP:Port/Smart.php?id=arirang_twn
博斯运动 1,http://IP:Port/Smart.php?id=bosisport1_twn
博斯运动 2,http://IP:Port/Smart.php?id=bosisport2_twn
博斯高球2,http://IP:Port/Smart.php?id=bosigolf2_twn
博斯网球,http://IP:Port/Smart.php?id=bositennis_twn
东森洋片,http://IP:Port/Smart.php?id=ettvwestern
龙华洋片,http://IP:Port/Smart.php?id=lunghuawestern_twn
博斯无限,http://IP:Port/Smart.php?id=bosiunlimited_twn
MTV Live,http://IP:Port/Smart.php?id=mtvhd_twn
龙详时代,http://IP:Port/Smart.php?id=lungxiangtime_twn
EYETV 旅游,http://IP:Port/Smart.php?id=eyetvtravel_twn
靖天卡通台,http://IP:Port/Smart.php?id=jingtiancartoon_twn
EYETV 戏剧,http://IP:Port/Smart.php?id=eyetvxiju_twn
卫视中文台,http://IP:Port/Smart.php?id=weishichinese_twn
东森幼幼,http://IP:Port/Smart.php?id=yoyo_twn
卫视电影台,http://IP:Port/Smart.php?id=weishimovie_twn
美亚电影,http://IP:Port/Smart.php?id=meiyamovie_twn
爱尔达影剧台,http://IP:Port/Smart.php?id=eltayingju_twn
爱尔达综合台,http://IP:Port/Smart.php?id=eltazonghe_twn
星卫电影,http://IP:Port/Smart.php?id=xingwei_movie
爱尔达影剧,http://IP:Port/Smart.php?id=eltayingju_twn
AFC 亚洲旅游台,http://IP:Port/Smart.php?id=asiatravel_twn


电影频道|HBO_HD,http://IP:Port/Smart.php?id=hbohd_twn
电影频道|HBO_HITS,http://IP:Port/Smart.php?id=hbohit_twn
电影频道|Hollywood Movies,http://IP:Port/Smart.php?id=hollywoodmovies_twn
电影频道|CCTV-6,http://IP:Port/Smart.php?id=cctv6
电影频道|CINEMAX,http://IP:Port/Smart.php?id=cinemax_twn
电影频道|Cinemax,http://IP:Port/Smart.php?id=Cinemax
电影频道|AXN Taiwan,http://IP:Port/Smart.php?id=axn_twn
电影频道|大爱2台,http://IP:Port/Smart.php?id=daai2_twn
电影频道|东森电影 ETTV Movie,http://IP:Port/Smart.php?id=ettvmovie
电影频道|东森洋片 ETTV Western,http://IP:Port/Smart.php?id=ettvwestern
电影频道|龙华洋片 Lunghua Western,http://IP:Port/Smart.php?id=lunghuawestern_twn
电影频道|Animax,http://IP:Port/Smart.php?id=Animax
电影频道|龙详时代,http://IP:Port/Smart.php?id=lungxiangtime_twn
电影频道|Movies Now HD,http://IP:Port/Smart.php?id=moviesnow_raj
电影频道|Star Movies HD,http://IP:Port/Smart.php?id=starmovies_raj
电影频道|卫视中文台 Star Movies Chinese,http://IP:Port/Smart.php?id=weishichinese_twn
电影频道|HBO Family,http://IP:Port/Smart.php?id=Hbofamily
电影频道|Hits,http://IP:Port/Smart.php?id=Hits
